node_time,modem_time,cv7_time,navigator_time,gps_time,nav_state_time
1750109963.1355546,,1750046606.1347485,1750045509.2061567,,
1750109963.1427236,,1750046606.1347485,1750045509.2196994,,
1750109963.1487021,,1750046606.147725,1750045509.2196994,,
1750109963.1565158,,1750046606.147725,1750045509.2326894,,
1750109963.1622312,,1750046606.160721,1750045509.2326894,,
1750109963.169384,,1750046606.160721,1750045509.2458446,,
1750109963.1746914,,1750046606.1736479,1750045509.2458446,,
1750109963.182194,,1750046606.1736479,1750045509.259163,,
1750109963.1875648,,1750046606.186681,1750045509.259163,,
1750109963.1957521,,1750046606.186681,1750045509.27215,,
1750109963.2010279,,1750046606.1995747,1750045509.27215,,
1750109963.20888,,1750046606.1995747,1750045509.2851024,,
1750109963.2135878,,1750046606.2125401,1750045509.2851024,,
1750109963.2210705,,1750046606.2125401,1750045509.2980816,,
1750109963.2261508,,1750046606.2254329,1750045509.2980816,,
1750109963.235219,,1750046606.2254329,1750045509.3110316,,
1750109963.2403116,,1750046606.2383862,1750045509.3110316,,
1750109963.2495666,,1750046606.2383862,1750045509.324099,,
1750109963.2534523,,1750046606.2526007,1750045509.324099,,
1750109963.259964,,1750046606.2526007,1750045509.3369658,,
1750109963.2650907,,1750046606.2643416,1750045509.3369658,,
1750109963.2729015,,1750046606.2643416,1750045509.349879,,
1750109963.2782047,,1750046606.277253,1750045509.349879,,
1750109963.2867274,,1750046606.277253,1750045509.3628602,,
1750109963.2912757,,1750046606.2902033,1750045509.3628602,,
1750109963.299086,,1750046606.2902033,1750045509.3758416,,
1750109963.3042254,,1750046606.3030791,1750045509.3758416,,
1750109963.3125992,,1750046606.3030791,1750045509.3887608,,
1750109963.3177314,,1750046606.3160923,1750045509.3887608,,
1750109963.3256874,,1750046606.3160923,1750045509.4018044,,
1750109963.3302362,,1750046606.3292613,1750045509.4018044,,
1750109963.3379474,,1750046606.3292613,1750045509.4148855,,
1750109963.3440797,,1750046606.3426263,1750045509.4148855,,
1750109963.351674,,1750046606.3426263,1750045509.4279335,,
1750109963.3567624,,1750046606.3555975,1750045509.4279335,,
1750109963.364072,,1750046606.3555975,1750045509.440921,,
1750109963.3703995,,1750046606.3695726,1750045509.440921,,
1750109963.3779025,,1750046606.3695726,1750045509.453873,,
1750109963.3849857,,1750046606.383071,1750045509.453873,,
1750109963.3903172,,1750046606.383071,1750045509.466864,,
1750109963.397067,,1750046606.3960686,1750045509.466864,,
1750109963.402887,,1750046606.3960686,1750045509.479926,,
1750109963.4101627,,1750046606.409026,1750045509.479926,,
1750109963.416839,,1750046606.409026,1750045509.4928749,,
1750109963.4232247,,1750046606.4220388,1750045509.4928749,,
1750109963.4308043,,1750046606.4220388,1750045509.5075738,,
1750109963.4359877,,1750046606.4349654,1750045509.5075738,,
1750109963.4437578,,1750046606.4349654,1750045509.5206037,,
1750109963.449489,,1750046606.4479368,1750045509.5206037,,
1750109963.4573472,,1750046606.4479368,1750045509.5335503,,
1750109963.4617376,,1750046606.4608572,1750045509.5335503,,
1750109963.4699655,,1750046606.4608572,1750045509.5469754,,
1750109963.47492,,1750046606.4737918,1750045509.5469754,,
1750109963.4855974,,1750046606.486653,1750045509.5608225,,
1750109963.4882374,,1750046606.486653,1750045509.5608225,,
1750109963.497007,,1750046606.486653,1750045509.5739167,,
1750109963.5004501,,1750046606.4995825,1750045509.5739167,,
1750109963.5119984,,1750046606.5125282,1750045509.5873647,,
1750109963.5150452,,1750046606.5125282,1750045509.5873647,,
1750109963.5247185,,1750046606.5254097,1750045509.600343,,
1750109963.5271645,,1750046606.5254097,1750045509.600343,,
1750109963.536254,,1750046606.5254097,1750045509.613301,,
1750109963.5399067,,1750046606.5384023,1750045509.613301,,
1750109963.550877,,1750046606.5512643,1750045509.626267,,
1750109963.553697,,1750046606.5512643,1750045509.626267,,
1750109963.5654504,,1750046606.5642085,1750045509.626267,,
1750109963.5761893,,1750046606.5771456,1750045509.6518593,,
1750109963.5792034,,1750046606.5771456,1750045509.6518593,,
1750109963.589456,,1750046606.589996,1750045509.6647825,,
1750109963.592618,,1750046606.589996,1750045509.6647825,,
1750109963.6017277,,1750046606.6028636,1750045509.677709,,
1750109963.6039772,,1750046606.6028636,1750045509.677709,,
1750109963.6155555,,1750046606.6157944,1750045509.690651,,
1750109963.618451,,1750046606.6157944,1750045509.690651,,
1750109963.628217,,1750046606.6287007,1750045509.703926,,
1750109963.63061,,1750046606.6287007,1750045509.703926,,
1750109963.641269,,1750046606.641646,1750045509.7177424,,
1750109963.6444356,,1750046606.641646,1750045509.7177424,,
1750109963.6559627,,1750046606.6554246,1750045509.731954,,
1750109963.6592593,,1750046606.6554246,1750045509.731954,,
1750109963.6748536,,1750046606.672394,1750045509.7505152,,
1750109963.677631,,1750046606.672394,1750045509.7505152,,
1750109963.687681,,1750046606.685932,1750045509.763443,,
1750109963.6905131,,1750046606.685932,1750045509.763443,,
1750109963.70022,,1750046606.6989083,1750045509.7769523,,
1750109963.703502,,1750046606.6989083,1750045509.7769523,,
1750109963.713537,,1750046606.7125163,1750045509.7899969,,
1750109963.7169561,,1750046606.7125163,1750045509.7899969,,
1750109963.7280858,,1750046606.7257905,1750045509.803858,,
1750109963.731362,,1750046606.7257905,1750045509.803858,,
1750109963.7393038,,1750046606.7393723,1750045509.8168452,,
1750109963.7406247,,1750046606.7393723,1750045509.8168452,,
1750109963.7524872,,1750046606.7524066,1750045509.8305037,,
1750109963.7536218,,1750046606.7524066,1750045509.8305037,,
1750109963.765464,,1750046606.765819,1750045509.8437483,,
1750109963.7663827,,1750046606.765819,1750045509.8437483,,
1750109963.7786946,,1750046606.7800033,1750045509.8568673,,
1750109963.7798023,,1750046606.7800033,1750045509.8568673,,
1750109963.795149,,1750046606.7938097,1750045509.8709602,,
1750109963.7974913,,1750046606.7938097,1750045509.8709602,,
1750109963.8094895,,1750046606.8074884,1750045509.8847635,,
1750109963.8131716,,1750046606.8074884,1750045509.8847635,,
1750109963.82287,,1750046606.8224154,1750045509.8980467,,
1750109963.8258514,,1750046606.8224154,1750045509.8980467,,
1750109963.836121,,1750046606.8354304,1750045509.9127915,,
1750109963.8392518,,1750046606.8354304,1750045509.9127915,,
1750109963.851023,,1750046606.848441,1750045509.926562,,
1750109963.8542545,,1750046606.848441,1750045509.926562,,
1750109963.8635645,,1750046606.8618352,1750045509.9399087,,
1750109963.8659668,,1750046606.8618352,1750045509.9399087,,
1750109963.877982,,1750046606.8760436,1750045509.954366,,
1750109963.88104,,1750046606.8760436,1750045509.954366,,
1750109963.8926587,,1750046606.8895264,1750045509.9677167,,
1750109963.8951507,,1750046606.8895264,1750045509.9677167,,
1750109963.9055874,,1750046606.9040298,1750045509.9816773,,
1750109963.9076042,,1750046606.9040298,1750045509.9816773,,
1750109963.918584,,1750046606.9170249,1750045509.9816773,,
1750109963.9318464,,1750046606.9302375,1750045510.0078237,,
1750109963.9349759,,1750046606.9302375,1750045510.0078237,,
1750109963.9451854,,1750046606.9436085,1750045510.0211236,,
1750109963.9481478,,1750046606.9436085,1750045510.0211236,,
1750109963.958549,,1750046606.9566228,1750045510.034862,,
1750109963.9618347,,1750046606.9566228,1750045510.034862,,
1750109963.9732344,,1750046606.9723947,1750045510.0499518,,
1750109963.9764812,,1750046606.9723947,1750045510.0499518,,
1750109963.9884655,,1750046606.985414,1750045510.063579,,
1750109963.9916375,,1750046606.985414,1750045510.063579,,
1750109964.000866,,1750046606.998633,1750045510.0767932,,
1750109964.003136,,1750046606.998633,1750045510.0767932,,
1750109964.0132167,,1750046607.012257,1750045510.0897722,,
1750109964.0158403,,1750046607.012257,1750045510.0897722,,
1750109964.0276382,,1750046607.0255992,1750045510.103202,,
1750109964.0309584,,1750046607.0255992,1750045510.103202,,
1750109964.0394533,,1750046607.0385864,1750045510.116531,,
1750109964.0425174,,1750046607.0385864,1750045510.116531,,
1750109964.0544372,,1750046607.0515614,1750045510.1294336,,
1750109964.0571344,,1750046607.0515614,1750045510.1294336,,
1750109964.066366,,1750046607.064414,1750045510.1423795,,
1750109964.069324,,1750046607.064414,1750045510.1423795,,
1750109964.0789793,,1750046607.0773263,1750045510.1553218,,
1750109964.0815523,,1750046607.0773263,1750045510.1553218,,
1750109964.0926974,,1750046607.0912557,1750045510.1683362,,
1750109964.0949516,,1750046607.0912557,1750045510.1683362,,
1750109964.1044865,,1750046607.1045172,1750045510.1812742,,
1750109964.1075091,,1750046607.1045172,1750045510.1812742,,
1750109964.1202598,,1750046607.1173034,1750045510.194662,,
1750109964.1232443,,1750046607.1173034,1750045510.194662,,
1750109964.1319191,,1750046607.1302419,1750045510.2075741,,
1750109964.134559,,1750046607.1302419,1750045510.2075741,,
1750109964.1450038,,1750046607.143179,1750045510.220589,,
1750109964.147503,,1750046607.143179,1750045510.220589,,
1750109964.158324,,1750046607.156647,1750045510.2338848,,
1750109964.1606026,,1750046607.156647,1750045510.2338848,,
1750109964.1706386,,1750046607.169771,1750045510.2338848,,
1750109964.1840446,,1750046607.1826158,1750045510.2593582,,
1750109964.1867077,,1750046607.1826158,1750045510.2593582,,
1750109964.1959906,,1750046607.1954675,1750045510.27228,,
1750109964.199029,,1750046607.1954675,1750045510.27228,,
1750109964.208865,,1750046607.2086802,1750045510.2852244,,
1750109964.2112105,,1750046607.2086802,1750045510.2852244,,
1750109964.223174,,1750046607.221882,1750045510.2982001,,
1750109964.2256033,,1750046607.221882,1750045510.2982001,,
1750109964.2346797,,1750046607.2349916,1750045510.3111343,,
1750109964.2370276,,1750046607.2349916,1750045510.3111343,,
1750109964.248577,,1750046607.2486274,1750045510.3241503,,
1750109964.2512858,,1750046607.2486274,1750045510.3241503,,
1750109964.2609642,,1750046607.261752,1750045510.33718,,
1750109964.264095,,1750046607.261752,1750045510.33718,,
1750109964.2777295,,1750046607.2766097,1750045510.33718,,
1750109964.287189,,1750046607.2766097,1750045510.3626988,,
1750109964.291076,,1750046607.2896683,1750045510.3626988,,
1750109964.2990212,,1750046607.2896683,1750045510.3759534,,
1750109964.3034332,,1750046607.302693,1750045510.3759534,,
1750109964.3124888,,1750046607.302693,1750045510.3890123,,
1750109964.3173585,,1750046607.315996,1750045510.3890123,,
1750109964.3260772,,1750046607.315996,1750045510.4020474,,
1750109964.3310604,,1750046607.3299844,1750045510.4020474,,
1750109964.3383389,,1750046607.3299844,1750045510.4150102,,
1750109964.3444796,,1750046607.3430376,1750045510.4150102,,
1750109964.351567,,1750046607.3430376,1750045510.4279292,,
1750109964.3576128,,1750046607.3559692,1750045510.4279292,,
1750109964.3646598,,1750046607.3559692,1750045510.4414616,,
1750109964.3705966,,1750046607.3695025,1750045510.4414616,,
1750109964.3778954,,1750046607.3695025,1750045510.4547951,,
1750109964.3833463,,1750046607.3824294,1750045510.4547951,,
1750109964.3915038,,1750046607.3824294,1750045510.4678106,,
1750109964.396465,,1750046607.3954663,1750045510.4678106,,
1750109964.403894,,1750046607.3954663,1750045510.4809062,,
1750109964.4094253,,1750046607.408493,1750045510.4809062,,
1750109964.417275,,1750046607.408493,1750045510.493837,,
1750109964.4233959,,1750046607.4219077,1750045510.493837,,
1750109964.4302819,,1750046607.4219077,1750045510.5067968,,
1750109964.436325,,1750046607.4350717,1750045510.5067968,,
1750109964.4431489,,1750046607.4350717,1750045510.5200384,,
1750109964.4495826,,1750046607.448071,1750045510.5200384,,
1750109964.4564133,,1750046607.448071,1750045510.5330408,,
1750109964.4622962,,1750046607.4610069,1750045510.5330408,,
1750109964.469092,,1750046607.4610069,1750045510.5459974,,
1750109964.4750028,,1750046607.473929,1750045510.5459974,,
1750109964.4831288,,1750046607.473929,1750045510.5589232,,
